subject,tag,file,lineno,LEC,DNC,NCT
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,263,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/lbfgs.py,117,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/lbfgs.py,132,,2.0,1.0
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,58,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,73,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,90,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,91,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,92,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,92,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,93,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,96,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,130,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,131,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,134,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,252,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,253,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,263,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/lbfgs.py,117,1.0,,
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/lbfgs.py,132,,2.0,1.0
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,58,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,73,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,90,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,91,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,92,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,92,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,93,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,96,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,130,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,131,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,134,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,252,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,253,1.0,,
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,263,1.0,,
