subject,tag,Number of Smells,Smell
AdvBox,661b3ce9d66e296aed281e42dee99332f7e02807,1,LongBaseClassList
AdvBox,66d4254c07f333edadf327ea43013fd1720b5f6b,2,LongBaseClassList
AdvBox,684dd6df3499a39c16d293329d3894a9ef473af4,1,LongBaseClassList
AdvBox,6891229bb16b95cfb4aaf1fd1ed17f9c4f7b28e3,3,LongBaseClassList
AdvBox,696d3177e93d069809b3e3a5f6db9bf068012d26,3,LongBaseClassList
AdvBox,698d0d66d6507d0a604920948f6649e4fa4aa8c2,1,LongBaseClassList
AdvBox,6a3002c0fb0bbe657943ba0f9c0803f489adcf82,4,LongBaseClassList
AdvBox,6a3d879d26d87a7a630cb37d3bdd848772746e82,3,LongBaseClassList
AdvBox,6ae4a5384e70282e4a1cacc7b368c5fa191dea41,1,LongBaseClassList
AdvBox,6bcc890f1b4f368de9004cc3539536d1414784ef,4,LongBaseClassList
AdvBox,6be530c394cc5a6730606d6eca4aa9f2a94f7e08,4,LongBaseClassList
AdvBox,6c77da7413d2735166353118d4547b4179695807,10,LongBaseClassList
AdvBox,6c79b2fcd05369f8d52eaf4dfd5e26a83ca8c752,4,LongBaseClassList
AdvBox,6ccca14a4a10a9d1aae5a05e1cfbcedfb0e99166,2,LongBaseClassList
AdvBox,6de19afd0d468ae87116ffd93439d15540ae0f6f,1,LongBaseClassList
AdvBox,6e7488e6c36de12905f1d7ff4f1cdd28d61dcc14,4,LongBaseClassList
AdvBox,6f601c719c8aebfd7a162b9bf3e0e5855efc9bc5,4,LongBaseClassList
AdvBox,70789638b0c004265ccb66465b4819c1439a1012,4,LongBaseClassList
AdvBox,70ab8944474bb078fb8083804dcc668553196d8d,4,LongBaseClassList
AdvBox,7198cd3ff9137da6e78139a33ea5c91d3202bc4f,1,LongBaseClassList
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,10,LongBaseClassList
AdvBox,7251abd4023fbfd5196b7167c13ce63c74399737,1,LongBaseClassList
AdvBox,72d6f5af9fd7bdfd54cb3c8943f1089af1d44dca,1,LongBaseClassList
AdvBox,764fbcbb572bcf601ba5fe9c68ae0757d2063299,1,LongBaseClassList
AdvBox,76edc3dae880d4c6543eba31e5692b60a37e8963,2,LongBaseClassList
AdvBox,7824de7756c4db1a4942774da1d23c1986790611,1,LongBaseClassList
AdvBox,782e6dfa4048688e7c97857de2579991f39df094,3,LongBaseClassList
AdvBox,79ec95faf67e36cf5a8de1986e6fe06ae6691f0d,1,LongBaseClassList
AdvBox,7a002fb6a5431bdb158634a2efb9adb89b06aa75,4,LongBaseClassList
AdvBox,7a377670e4695ede85451928cf68032f58ce5e06,4,LongBaseClassList
AdvBox,7a4a01be219011494e639af48c715ddc11f31a9c,1,LongBaseClassList
AdvBox,7ae0d40fff9c5aec967291da58734f8d9b6e92ec,1,LongBaseClassList
AdvBox,7c4910b7713110547881fc1549d077ade9190b51,4,LongBaseClassList
AdvBox,7dde857b61d56138b3ab30de864627ecabce7467,1,LongBaseClassList
AdvBox,7deb5085972a3c23c191f669cfbe05865106ea5c,3,LongBaseClassList
AdvBox,807170cf7b05437f70d0cd9a762f24e5a9a41b42,4,LongBaseClassList
AdvBox,80d41e9e8d8216f36d51bd5ea8def49c9fd118e7,2,LongBaseClassList
AdvBox,811c062b8150e7197ee0eeb9dbe3db13cfc57f60,1,LongBaseClassList
AdvBox,81d9119a600575a7fe29304d4ca1bcf13c569eb2,1,LongBaseClassList
AdvBox,8231f450bc712a8aade41b168766499154d85d25,2,LongBaseClassList
AdvBox,8265a44969dfb352b4f2c65b9ef83983828cd3c2,1,LongBaseClassList
AdvBox,835443b64f5b815c97bbe2a21d95df1e980cafb8,2,LongBaseClassList
AdvBox,83b51ade1c30e9781bcb1986d7256d7939cf5c9d,3,LongBaseClassList
AdvBox,8405cd1000a7f9e1c517c05a8f01748eac961733,1,LongBaseClassList
AdvBox,85dda3148c9e4c67b5e7a221877deac44b2d949c,2,LongBaseClassList
AdvBox,86473f244bc5d478c44ea33b072a02ec12a6278f,1,LongBaseClassList
AdvBox,87308ce1d805f4dbcd1012e657902754edc8b68a,1,LongBaseClassList
AdvBox,8965104133175dd7a5e578a69e4d7c83592f304c,1,LongBaseClassList
AdvBox,89e2a080fa8bc49aef576ae2fc863599e4372665,1,LongBaseClassList
AdvBox,8b47b600adfe0ce2ce5e87170934c182a46a33e8,1,LongBaseClassList
AdvBox,8bdfd94c406c47cbb134e72e783ad4874d75c940,1,LongBaseClassList
AdvBox,8bff941ac5d8f8d5a91b97a681e7271be39e5362,1,LongBaseClassList
AdvBox,8d6e71ba1285a815805ae59f6d63734b56239bfa,4,LongBaseClassList
AdvBox,8d84be94d554f1aa7763053905dfc42a54e7a99f,1,LongBaseClassList
AdvBox,8dea43323c2cee61b0eb6ec0dba2d966b0ed4bea,1,LongBaseClassList
AdvBox,8e303d49d8b095e881e9e246076d20dae671c336,4,LongBaseClassList
AdvBox,8e9a6981df59a13555cddf313bf0a73541011480,1,LongBaseClassList
AdvBox,8f0fe1bbb437f5f2b194e35f9d0fc94489c8187d,1,LongBaseClassList
AdvBox,92564ba9be6be05ffe8e9ca204d531e7c3d0d71a,1,LongBaseClassList
AdvBox,934d848c47ff1a3a540cb671e66020b8e7d3d601,2,LongBaseClassList
AdvBox,93d316e95f713935b498c43942e45577b06ec80a,1,LongBaseClassList
AdvBox,94898bd2ef7ee6263e2b9ec565aceba0d3c2cf13,1,LongBaseClassList
AdvBox,958443ab5da147e4c1401c152ea2b5cf7d406ed0,1,LongBaseClassList
AdvBox,9658a0ba9d995218ec87eb44097d530650625b80,2,LongBaseClassList
AdvBox,96acc8fdab7d52393d6d71ba2b884d93e0ee96fc,4,LongBaseClassList
AdvBox,97533bc0ca128a62a8bd903ea5971ab06796f68c,2,LongBaseClassList
AdvBox,9760460d3207b7d6c10bfd1cc5ad56c11e1285e4,4,LongBaseClassList
AdvBox,979002c98bc847b413ae8b3265bd54c3307d01d3,2,LongBaseClassList
AdvBox,97fdc85d78f957a52a8bf8bfb8fc44e9f576ed63,1,LongBaseClassList
AdvBox,98eaee969401fdcde83685547716835610dac5b2,3,LongBaseClassList
AdvBox,994a666626476cdc0e4ce1b82f31b4745a0b3d5c,2,LongBaseClassList
AdvBox,99b1df644fce30f7086ec19a622ede6f46f4ccbb,1,LongBaseClassList
AdvBox,99d21d3809e0d8dbdf9754eca1e27dd6e0ad9242,2,LongBaseClassList
